word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
offline;9283;3.84;10.759;4560;--;--;--
pleaded;9284;3.84;13.756;--;--;3127;--
rent;9285;3.84;14.758;2253;3445;2867;2451
shouldn't;9286;3.84;0.8172;--;--;--;--
snatch;9287;3.84;16.333;--;--;--;3723
ghosts;9288;3.84;19.827;--;--;--;3008
hatin;9289;3.84;15.458;--;--;--;4142
fragile;9290;3.83;13.262;--;--;--;3317
baddest;9291;3.82;20.172;--;--;--;4985
blood;9292;3.82;17.922;1081;474;1827;368
creep;9293;3.82;16.123;--;--;--;1923
dark;9294;3.82;14.097;578;982;2335;378
darkness;9295;3.82;18.702;--;2861;--;663
eliminate;9296;3.82;17.460;--;--;3593;--
forgetting;9297;3.82;14.097;--;--;--;4203
gang;9298;3.82;21.824;3440;--;--;1720
hanging;9299;3.82;17.225;1404;4766;--;1037
hardest;9300;3.82;16.249;4282;--;--;2534
haven't;9301;3.82;12.567;--;--;--;--
junk;9302;3.82;13.354;3484;--;--;3912
loans;9303;3.82;12.728;4831;3793;2000;--
oppose;9304;3.82;14.384;--;--;4381;--
slip;9305;3.82;12.887;4758;--;--;1031
sos;9306;3.82;17.343;--;--;--;4691
thirst;9307;3.82;17.225;--;--;--;3786
erased;9308;3.82;15.093;--;--;--;4728
vain;9309;3.82;17.874;--;3566;--;1599
fades;9310;3.81;10.762;--;--;--;1917
aggressive;9311;3.8;15.779;--;4819;3474;--
costs;9312;3.8;14.428;3155;1112;688;--
critics;9313;3.8;16.782;--;3378;1972;--
fire;9314;3.8;15.779;441;676;837;273
fist;9315;3.8;12.454;--;--;--;1964
interment;9316;3.8;18.295;--;--;989;--
ow;9317;3.8;13.702;4689;--;--;2782
pale;9318;3.8;10.880;--;3511;--;2188
protesters;9319;3.8;16.903;--;--;--;--
witch;9320;3.8;20.898;--;--;--;3430
chronic;9321;3.79;19.236;--;2508;--;3870
thirsty;9322;3.79;14.580;--;--;--;4306
thorns;9323;3.79;16.753;--;--;--;4646
sink;9324;3.79;16.008;--;--;--;1927
battles;9325;3.78;20.030;--;--;--;4637
bugs;9326;3.78;15.158;4163;--;--;--
court;9327;3.78;17.990;1678;365;223;2425
ends;9328;3.78;14.886;1484;1850;2291;992
exams;9329;3.78;16.573;4080;--;--;--
predeceased;9330;3.78;16.199;--;--;2930;--
risks;9331;3.78;17.646;--;4207;3243;--
rusty;9332;3.78;14.609;--;--;--;4694
slow;9333;3.78;11.119;557;1912;2304;480
wouldn't;9334;3.78;11.480;--;--;--;--
bothered;9335;3.78;15.311;--;--;--;4853
unnecessary;9336;3.78;15.581;--;4778;--;--
nothings;9337;3.76;17.677;--;--;--;4888
resigned;9338;3.76;15.851;--;--;2700;--
symptoms;9339;3.76;13.933;--;1692;--;--
yell;9340;3.76;17.209;--;--;--;3210
gutter;9341;3.76;17.143;--;--;--;3729
hangs;9342;3.76;16.774;--;--;--;4105
void;9343;3.76;14.220;--;--;--;3270
bailout;9344;3.74;16.759;4396;--;--;--
boo;9345;3.74;17.591;1195;--;--;1606
critic's;9346;3.74;14.682;--;--;--;--
denying;9347;3.74;14.682;--;--;--;4938
last;9348;3.74;12.586;113;202;53;187
noise;9349;3.74;13.063;2947;2502;4813;1427
obsession;9350;3.74;11.214;3908;--;--;3874
reckless;9351;3.74;19.146;--;--;--;4712
shove;9352;3.74;17.357;--;--;--;2834
stomp;9353;3.74;14.682;--;--;--;3150
wait;9354;3.74;12.090;237;2079;2027;268
sucka;9355;3.74;17.704;--;--;--;4409
pimp;9356;3.73;21.581;--;--;--;1437
stranded;9357;3.73;18.905;--;--;--;3740
tearing;9358;3.73;13.811;--;--;--;2323
strain;9359;3.73;18.071;--;2886;--;3625
crack;9360;3.72;14.434;2191;--;4688;865
